date,Brightness,roomname,Humidity,SetpointHistory,Temperature
2017-03-30 02:30:00,0.0,Kitchen,52.0,16.0,17.95
2017-03-30 04:00:00,0.0,Kitchen,52.0,21.0,17.8
2017-03-30 07:30:00,0.0,Kitchen,50.0,16.0,19.21
2017-03-30 16:00:00,399.18,Kitchen,48.0,21.0,18.74
2017-03-30 21:30:00,0.0,Kitchen,53.0,16.0,19.84
2017-03-31 00:00:00,16.48,Kitchen,52.5,16.0,19.21
2017-03-31 04:40:00,0.0,Kitchen,52.0,21.0,18.58
2017-03-31 07:30:00,47.61,Kitchen,51.0,16.0,19.69
2017-03-31 16:20:00,334.18,Kitchen,53.0,21.0,19.06
2017-03-31 21:30:00,0.0,Kitchen,53.0,16.0,19.69
2017-04-01 00:40:00,0.0,Kitchen,53.0,16.0,18.9
2017-04-01 07:50:00,0.0,Kitchen,53.0,21.0,18.43
2017-04-01 09:00:00,131.84,Kitchen,54.0,16.0,18.74
2017-04-03 01:30:00,0.0,Kitchen,56.0,16.0,18.58
2017-04-04 00:50:00,0.0,Kitchen,56.0,16.0,18.11
2017-04-04 07:00:00,12.82,Kitchen,55.0,21.0,17.8
2017-04-06 02:30:00,0.0,Kitchen,51.0,21.0,18.43
2017-04-08 03:00:00,0.0,Kitchen,48.0,21.0,18.27
2017-04-10 02:30:00,0.0,Kitchen,56.0,21.0,18.03
2017-04-12 21:30:00,0.0,Kitchen,51.0,16.0,19.21
2017-04-13 01:00:00,0.0,Kitchen,53.0,16.0,18.11
2017-04-13 04:00:00,0.0,Kitchen,52.0,21.0,17.8
2017-04-13 07:30:00,21.06,Kitchen,52.0,16.0,19.37
2017-04-13 15:30:00,239.88,Kitchen,52.0,21.0,18.27
2017-04-13 21:30:00,0.0,Kitchen,51.0,16.0,19.53
2017-04-14 02:30:00,0.0,Kitchen,52.0,16.0,18.43
2017-04-14 04:10:00,0.0,Kitchen,51.0,21.0,18.27
2017-04-14 07:30:00,0.0,Kitchen,51.0,16.0,17.95
2017-04-14 15:20:00,286.57,Kitchen,44.0,21.0,17.95
2017-04-14 21:30:00,0.0,Kitchen,48.0,16.0,19.06
2017-04-15 02:50:00,0.0,Kitchen,49.0,16.0,17.95
2017-04-15 07:50:00,0.0,Kitchen,49.0,21.0,17.48
2017-04-15 13:00:00,341.5,Kitchen,48.0,16.0,19.84
2017-04-15 15:30:00,139.16,Kitchen,48.0,21.0,18.58
2017-04-15 21:30:00,0.0,Kitchen,51.0,16.0,17.95
2017-04-16 03:00:00,0.0,Kitchen,50.0,16.0,17.48
2017-04-16 07:10:00,58.6,Kitchen,49.0,21.0,17.17
2017-04-16 13:00:00,276.5,Kitchen,49.0,16.0,17.17
2017-04-16 14:10:00,188.6,Kitchen,49.0,21.0,17.17
2017-04-17 02:00:00,0.0,Kitchen,50.0,16.0,16.38
2017-04-17 02:40:00,0.0,Kitchen,49.0,21.0,16.38
2017-04-17 20:20:00,0.0,Kitchen,54.0,16.0,18.27
2017-04-17 23:10:00,0.0,Kitchen,53.0,16.0,16.85
2017-04-18 10:10:00,156.56,Kitchen,50.0,21.0,16.85
2017-04-18 23:20:00,0.0,Kitchen,49.0,16.0,19.21
2017-04-19 00:00:00,0.0,Kitchen,49.0,21.0,18.58
2017-04-19 07:20:00,62.715,Kitchen,46.0,21.0,19.29
2017-04-19 14:20:00,256.36,Kitchen,47.0,21.0,17.48
2017-04-19 21:50:00,0.0,Kitchen,48.0,16.0,18.9
2017-04-20 01:10:00,0.0,Kitchen,49.0,16.0,17.64
2017-04-20 07:20:00,52.19,Kitchen,46.0,21.0,18.58
2017-04-21 07:30:00,0.0,Kitchen,44.0,16.0,18.9
2017-04-21 10:10:00,200.51,Kitchen,46.0,21.0,17.64
2017-04-21 12:30:00,346.08,Kitchen,31.0,16.0,20.0
2017-04-21 15:20:00,315.87,Kitchen,40.0,21.0,18.11
2017-04-21 21:30:00,14.65,Kitchen,48.0,16.0,19.37
2017-04-21 22:40:00,0.92,Kitchen,51.0,21.0,19.06
2017-04-22 23:00:00,0.0,Kitchen,50.0,16.0,20.0
2017-04-23 07:50:00,87.89,Kitchen,48.0,21.0,18.43
2017-04-25 23:20:00,0.0,Kitchen,48.0,21.0,18.659999999999997
2017-04-30 01:00:00,0.0,Kitchen,51.0,16.0,19.450000000000003
2017-04-30 07:50:00,90.64,Kitchen,51.0,21.0,18.27
2017-04-30 13:00:00,296.64,Kitchen,51.0,16.0,18.27
2017-04-30 14:50:00,343.33,Kitchen,50.0,21.0,18.27
2017-04-30 21:30:00,0.0,Kitchen,51.0,16.0,19.53
2017-05-01 00:20:00,0.0,Kitchen,51.0,16.0,18.58
